,TEMPERATURE,TEMPERATURE_DELTA,SOLAR_RADIATION,OZONE,CO,NO,NOY,NOYDIF,SO2_GA,MEAN PM 2.5,MEAN PM 10,PBLH,AQ_TRUE
2011-01-01,7.458875,0.15075,48.82529167,17.49866667,303.1545455,4.88652381,14.4222381,9.684857143,1.300086957,25.5,8,946.22327,-1
2011-01-02,8.459041667,0.1961666667,18.636625,25.95833333,146.7458333,0.4820416667,4.121,7.974333333,0.9025,8.2,8,803.56036,-1
2011-01-03,-1.267708333,0.211375,127.71275,25.72975,190.6272727,1.150565217,9.495956522,7.135208333,1.589652174,5.533333333,10.33333333,1148.97,-1
2011-01-04,-1.672208333,0.656,110.6118333,7.1265,335.0375,7.205416667,29.72708333,4.681809524,1.948333333,12.9,9,677.49066,-1
2011-01-05,-0.1055,0.6779583333,121.700375,23.259125,334.3540097,0.8107826087,10.09434783,20.46633333,1.673086957,7.7,15,1205.8126,-1
2011-01-06,-2.135916667,0.3605416667,125.9947917,13.84120833,333.6705195,4.154916667,19.34075,30.58285714,3.011625,15,12.33333333,1315.918,-1
2011-01-07,-1.728333333,0.32525,54.78041667,20.56133333,332.9870292,0.5883913043,9.81273913,19.893,2.219956522,13.1,8,2029.668,-1
2011-01-08,-2.59575,-0.02925,65.27825,24.12958333,332.303539,0.3795,7.020125,23.38171429,1.912083333,11.5,13,1933.4951,-1
2011-01-09,-3.377958333,-0.008083333333,131.2344583,28.79041667,331.6200487,0.4963043478,3.789652174,13.08808333,2.72,6.625,6.75,1763.209,-1
2011-01-10,-3.692875,0.5110416667,85.819,23.14416667,330.9365584,1.057291667,11.34075,31.54,3.044041667,8.6,12,1030.9792,-1
2011-01-11,-3.048083333,-0.039875,39.84229167,10.383,330.2530682,4.426086957,22.61652174,18.17229167,2.725826087,17.2,9,485.19324,-1
2011-01-12,-2.136666667,0.2975833333,69.71970833,22.06658333,329.5695779,1.34625,10.05083333,1.323190476,2.597791667,8.666666667,10.66666667,1889.6658,-1
2011-01-13,-2.496375,0.1237916667,133.1313333,30.21416667,328.8860877,0.724,5.912416667,2.171708333,3.658,5.3,19,1474.4968,-1
2011-01-14,-3.751166667,0.3795833333,123.0858333,23.1075,328.2025974,2.301125,12.18645833,6.308375,3.728448718,10.8,10,1537.0963,-1
2011-01-15,0.9052083333,0.3688333333,92.07404167,18.53941667,327.5191071,2.479541667,16.96966667,15.92208333,3.798897436,12.56666667,11.66666667,920.09985,-1
2011-01-16,0.9144583333,0.2899583333,100.1819167,28.62958333,326.8356169,0.5857916667,5.973458333,7.580666667,3.869346154,13.5,5,1329.2217,-1
2011-01-17,-2.174458333,-0.079625,29.52004167,24.29125,326.1521266,0.8786666667,11.384375,7.578134511,3.939794872,10.8,15,645.0299,-1
2011-01-18,-0.2417916667,-0.04758333333,43.12204167,11.26154167,325.4686364,3.490583333,23.80416667,7.575602354,4.01024359,14.43333333,7.333333333,479.33972,-1
2011-01-19,4.040958333,-0.03691666667,91.87695833,7.606666667,324.7851461,14.56020833,31.80675,7.573070198,4.080692308,16.2,8,1205.5708,-1
2011-01-20,2.245125,0.09845833333,108.6845833,24.49916667,324.1016558,0.3364,5.606,7.570538042,1.199647059,7.5,3,1265.5579,-1
2011-01-21,-2.102333333,-0.06941666667,133.9832917,30.0175,323.4181656,0.5330833333,6.310916667,7.568005886,1.954125,7.375,7.25,2031.5062,-1
2011-01-22,-8.716291667,0.1438333333,91.72375,24.45954167,322.7346753,0.5294064394,6.292856187,7.56547373,1.924868056,10.2,8,1459.9355,-1
2011-01-23,-7.428708333,0.328875,121.5042083,18.98766667,322.0511851,0.5257295455,6.274795707,7.562941574,1.895611111,17.6,15,1710.672,-1
2011-01-24,-7.078083333,0.1086666667,111.5020833,22.13283333,321.3676948,0.5220526515,6.256735227,7.560409418,1.866354167,10.75,8,1141.0846,-1
2011-01-25,0.56125,0.2192083333,78.803375,8.782375,320.6842045,0.5183757576,6.238674747,7.557877262,1.837097222,23,9,385.34375,-1
2011-01-26,0.56875,-0.0317,16.780875,6.865,320.0007143,0.5146988636,6.220614268,7.555345105,1.807840278,15.6,9,816.9607,-1
2011-01-27,0.4961875,-0.03941666667,0.44775,6.814354167,319.317224,0.5110219697,6.202553788,7.552812949,1.778583333,14.11428571,8.904761905,1281.2803,-1
2011-01-28,0.423625,-0.04713333333,1.206,6.763708333,318.6337338,0.5073450758,6.184493308,7.550280793,1.749326389,12.62857143,8.80952381,683.828,-1
2011-01-29,0.3510625,-0.05485,1.96425,6.7130625,317.9502435,0.5036681818,6.166432828,7.547748637,1.720069444,11.14285714,8.714285714,702.40466,-1
2011-01-30,0.2785,-0.06256666667,2.7225,6.662416667,317.2667532,0.4999912879,6.148372348,7.545216481,1.6908125,9.657142857,8.619047619,1025.2224,-1
2011-01-31,0.2059375,-0.07028333333,3.48075,6.611770833,316.583263,0.4963143939,6.130311869,7.542684325,1.661555556,8.171428571,8.523809524,632.8389,-1
2011-02-01,0.133375,-0.078,4.239,6.561125,315.8997727,0.4926375,6.112251389,7.540152169,1.632298611,6.685714286,8.428571429,534.344,-1
2011-02-02,2.74625,0.04766666667,82.31479167,16.78766667,315.2162825,0.4889606061,6.094190909,7.537620013,1.603041667,5.2,8.333333333,967.3155,-1
2011-02-03,-1.689083333,0.139625,154.7259583,32.62583333,314.5327922,0.4852837121,6.076130429,7.535087856,1.573784722,5.966666667,9.333333333,1368.2616,-1
2011-02-04,-0.637125,0.5545416667,123.6067917,13.59104167,313.8493019,0.4816068182,6.058069949,7.5325557,1.544527778,12.2,18,736.46185,-1
2011-02-05,1.701333333,0.112,32.98675,18.46791667,313.1658117,0.4779299242,6.04000947,7.530023544,1.515270833,6.4,10.5,523.943,-1
2011-02-06,3.716458333,0.1696666667,163.9304583,32.01708333,312.4823214,0.4742530303,6.02194899,7.527491388,1.486013889,12.1,13.5,1442.7617,-1
2011-02-07,2.645708333,0.2639583333,116.2676667,19.032625,311.7988312,0.4705761364,6.00388851,7.524959232,1.456756944,18.4,7,647.78735,-1
2011-02-08,0.6880416667,0.02833333333,135.1896667,28.41169565,311.1153409,0.4668992424,5.98582803,7.522427076,1.4275,7.75,21,2668.7725,-1
2011-02-09,-3.672958333,-0.064625,120.7704167,29.52875,310.4318506,0.4632223485,5.967767551,7.51989492,2.435541667,7.1,14,1873.0242,-1
2011-02-10,-3.909625,0.05033333333,191.4795,32.782,309.7483604,0.4595454545,5.949707071,7.517362764,3.879875,8.466666667,12,1343.6863,-1
2011-02-11,-3.561208333,0.35525,196.47775,33.57667692,309.0648701,0.4558685606,5.931646591,7.514830607,2.460791667,14.4,10,1235.1289,-1
2011-02-12,-0.1814583333,0.4020833333,152.1410417,34.37135385,308.3813799,0.4521916667,5.913586111,7.512298451,1.779833333,14.4,10,2208.9036,-1
2011-02-13,6.087416667,0.3248333333,97.77820833,35.16603077,307.6978896,0.4485147727,5.895525631,7.509766295,1.6555,8.1,11,1177.0286,-1
2011-02-14,11.13391667,0.01666666667,171.393375,35.96070769,307.0143994,0.4448378788,5.877465152,7.507234139,1.384375,5.125,19.75,2905.915,-1
2011-02-15,1.741086957,0.1576956522,184.3867826,36.75538462,306.3309091,0.4411609848,5.859404672,7.504701983,0.9314,5.8,19,1781.5922,-1
2011-02-16,5.085583333,0.803375,176.8445,30.29208333,305.6474188,0.4374840909,5.841344192,7.502169827,1.893565217,10.7,17,782.70996,-1
