SITE_ID,DATE,MEAN PM 2.5,MEAN PM 10,PBLH,AQ_TRUE
BEL116,01/01/2011,25.5,8,946.22327,-1
BEL116,01/02/2011,8.2,8,803.56036,-1
BEL116,01/03/2011,4.8,17,1148.97,-1
BEL116,01/03/2011,4.7,7,1148.97,-1
BEL116,01/03/2011,7.1,7,1148.97,-1
BEL116,01/04/2011,12.9,9,677.49066,-1
BEL116,01/05/2011,7.7,15,1205.8126,-1
BEL116,01/06/2011,13.3,14,1315.918,-1
BEL116,01/06/2011,15.2,14,1315.918,-1
BEL116,01/06/2011,16.5,9,1315.918,-1
BEL116,01/07/2011,13.1,8,2029.668,-1
BEL116,01/08/2011,11.5,13,1933.4951,-1
BEL116,01/09/2011,5.5,5,1763.209,-1
BEL116,01/09/2011,5.8,8,1763.209,-1
BEL116,01/09/2011,7.8,8,1763.209,-1
BEL116,01/09/2011,7.4,6,1763.209,-1
BEL116,01/10/2011,8.6,12,1030.9792,-1
BEL116,01/11/2011,17.2,9,485.19324,-1
BEL116,01/12/2011,7.2,8,1889.6658,-1
BEL116,01/12/2011,10.4,12,1889.6658,-1
BEL116,01/12/2011,8.4,12,1889.6658,-1
BEL116,01/13/2011,5.3,19,1474.4968,-1
BEL116,01/14/2011,10.8,10,1537.0963,-1
BEL116,01/15/2011,11.5,8,920.09985,-1
BEL116,01/15/2011,11.7,21,920.09985,-1
BEL116,01/15/2011,14.5,6,920.09985,-1
BEL116,01/16/2011,13.5,5,1329.2217,-1
BEL116,01/17/2011,10.8,15,645.0299,-1
BEL116,01/18/2011,13.1,6,479.33972,-1
BEL116,01/18/2011,15.9,8,479.33972,-1
BEL116,01/18/2011,14.3,8,479.33972,-1
BEL116,01/19/2011,16.2,8,1205.5708,-1
BEL116,01/20/2011,7.5,3,1265.5579,-1
BEL116,01/21/2011,6.3,4,2031.5062,-1
BEL116,01/21/2011,6.3,9,2031.5062,-1
BEL116,01/21/2011,9.3,8,2031.5062,-1
BEL116,01/21/2011,7.6,8,2031.5062,-1
BEL116,01/22/2011,10.2,8,1459.9355,-1
BEL116,01/23/2011,17.6,15,1710.672,-1
BEL116,01/24/2011,9.9,7,1141.0846,-1
BEL116,01/24/2011,11.6,9,1141.0846,-1
BEL116,01/25/2011,23,9,385.34375,-1
BEL116,01/26/2011,15.6,9,816.9607,-1
BEL116,01/27/2011,,,1281.2803,-1
BEL116,01/28/2011,,,683.828,-1
BEL116,1/29/2011,,,702.40466,-1
BEL116,01/30/2011,,,1025.2224,-1
BEL116,01/31/2011,,,632.8389,-1
BEL122,02/01/2011,,,534.344,-1
