"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","22","","Verizon","11-001-0023","AQS"
"01/02/2011","15","","Verizon","11-001-0023","AQS"
"01/03/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"01/04/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"01/05/2011","15","","RIVER TERRACE","11-001-0041","AQS"
"01/06/2011","18","","RIVER TERRACE","11-001-0041","AQS"
"01/07/2011","14","","RIVER TERRACE","11-001-0041","AQS"
"01/08/2011","14","","RIVER TERRACE","11-001-0041","AQS"
"01/09/2011","11","","RIVER TERRACE","11-001-0041","AQS"
"01/10/2011","15","","RIVER TERRACE","11-001-0041","AQS"
"01/11/2011","18","","RIVER TERRACE","11-001-0041","AQS"
"01/12/2011","14","","RIVER TERRACE","11-001-0041","AQS"
"01/13/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"01/14/2011","20","","RIVER TERRACE","11-001-0041","AQS"
"01/15/2011","22","","RIVER TERRACE","11-001-0041","AQS"
"01/16/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"01/17/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"01/18/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"01/19/2011","17","","RIVER TERRACE","11-001-0041","AQS"
"01/20/2011","15","","RIVER TERRACE","11-001-0041","AQS"
"01/21/2011","14","","RIVER TERRACE","11-001-0041","AQS"
"01/22/2011","9","","Verizon","11-001-0023","AQS"
"01/23/2011","10","","Verizon","11-001-0023","AQS"
"01/24/2011","9","","Verizon","11-001-0023","AQS"
"01/25/2011","15","","Verizon","11-001-0023","AQS"
"01/26/2011","14","","Verizon","11-001-0023","AQS"
"01/27/2011","11","","Verizon","11-001-0023","AQS"
"01/28/2011","13","","Verizon","11-001-0023","AQS"
"01/29/2011","14","","Verizon","11-001-0023","AQS"
"01/30/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"01/31/2011","11","","Verizon","11-001-0023","AQS"
"02/01/2011","14","","Verizon","11-001-0023","AQS"
"02/02/2011","15","","Verizon","11-001-0023","AQS"
"02/03/2011","11","","Verizon","11-001-0023","AQS"
"02/04/2011","13","","Verizon","11-001-0023","AQS"
"02/05/2011","13","","Verizon","11-001-0023","AQS"
"02/06/2011","13","","Verizon","11-001-0023","AQS"
"02/07/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"02/08/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"02/09/2011","8","","RIVER TERRACE","11-001-0041","AQS"
"02/10/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"02/11/2011","23","","RIVER TERRACE","11-001-0041","AQS"
"02/12/2011","20","","RIVER TERRACE","11-001-0041","AQS"
"02/13/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"02/14/2011","8","","RIVER TERRACE","11-001-0041","AQS"
"02/15/2011","14","","RIVER TERRACE","11-001-0041","AQS"
"02/16/2011","14","","Verizon","11-001-0023","AQS"
