"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/02/2011","14","","RIVER TERRACE","11-001-0041","AQS"
"01/03/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/04/2011","41","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/05/2011","42","","RIVER TERRACE","11-001-0041","AQS"
"01/06/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"01/07/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/08/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/09/2011","9","","RIVER TERRACE","11-001-0041","AQS"
"01/10/2011","39","","RIVER TERRACE","11-001-0041","AQS"
"01/11/2011","39","","RIVER TERRACE","11-001-0041","AQS"
"01/12/2011","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/13/2011","24","","RIVER TERRACE","11-001-0041","AQS"
"01/14/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/15/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/16/2011","37","","RIVER TERRACE","11-001-0041","AQS"
"01/17/2011","24","","RIVER TERRACE","11-001-0041","AQS"
"01/18/2011","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/19/2011","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/20/2011","32","","RIVER TERRACE","11-001-0041","AQS"
"01/21/2011","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/22/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/23/2011","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/24/2011","53","","RIVER TERRACE","11-001-0041","AQS"
"01/25/2011","45","","RIVER TERRACE","11-001-0041","AQS"
"01/26/2011","39","","RIVER TERRACE","11-001-0041","AQS"
"01/27/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/28/2011","33","","RIVER TERRACE","11-001-0041","AQS"
"01/29/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/30/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/31/2011","36","","RIVER TERRACE","11-001-0041","AQS"
"02/01/2011","37","","RIVER TERRACE","11-001-0041","AQS"
"02/02/2011","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/03/2011","44","","RIVER TERRACE","11-001-0041","AQS"
"02/04/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/05/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"02/06/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/07/2011","57","","RIVER TERRACE","11-001-0041","AQS"
"02/08/2011","37","","RIVER TERRACE","11-001-0041","AQS"
"02/09/2011","23","","RIVER TERRACE","11-001-0041","AQS"
"02/10/2011","48","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/11/2011","58","","RIVER TERRACE","11-001-0041","AQS"
