Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
01/01/2011,78,930.45135,22,27,78,0,0,44
01/02/2011,29,808.1053,15,29,23,0,0,14
01/03/2011,45,1149.2727,16,31,31,0,0,45
01/04/2011,45,690.31903,19,17,45,14,0,41
01/05/2011,42,1213.6376,15,26,40,0,0,42
01/06/2011,64,1290.8658,18,22,64,0,0,40
01/07/2011,49,2007.471,14,29,49,0,0,40
01/08/2011,44,1988.6079,14,28,44,0,0,29
01/09/2011,33,1743.0518,11,29,33,9,0,9
01/10/2011,58,1037.1501,15,27,58,0,0,39
01/11/2011,59,490.1687,18,13,59,0,0,39
01/12/2011,33,1879.9412,14,27,33,0,0,27
01/13/2011,52,1506.2313,13,31,52,0,0,24
01/14/2011,54,1544.7734,20,28,54,0,0,42
01/15/2011,54,916.43604,22,27,54,17,0,42
01/16/2011,56,1346.3511,16,30,56,0,0,37
01/17/2011,62,659.0726,16,22,62,0,0,24
01/18/2011,65,481.0492,16,12,65,0,0,32
01/19/2011,54,1212.5815,17,19,54,0,0,30
01/20/2011,32,1261.0593,15,23,30,0,0,32
01/21/2011,46,2017.2145,14,33,46,14,0,14
01/22/2011,54,1439.4186,9,26,54,0,0,38
01/23/2011,56,1700.3818,10,30,56,0,0,37
01/24/2011,76,1045.3577,9,24,76,0,0,53
01/25/2011,70,383.3739,15,12,70,0,0,45
01/26/2011,62,814.72894,14,19,62,0,0,39
01/27/2011,56,1273.2986,11,28,56,14,0,40
01/28/2011,68,697.0387,13,21,68,0,0,33
01/29/2011,53,705.9183,14,22,53,0,0,40
01/30/2011,77,984.20874,19,27,77,0,0,43
01/31/2011,58,639.9695,11,22,58,0,0,36
02/01/2011,79,537.9264,14,10,79,0,0,37
02/02/2011,34,922.86774,15,34,30,7,0,31
02/03/2011,44,1343.5193,11,35,26,0,0,44
02/04/2011,45,729.29315,13,23,45,0,0,45
02/05/2011,37,537.9745,13,24,37,0,0,25
02/06/2011,55,1448.4901,13,33,55,0,0,45
02/07/2011,72,644.0013,19,14,72,0,0,57
02/08/2011,37,2631.0085,10,35,35,7,0,37
02/09/2011,31,1855.8463,8,31,29,0,0,23
02/10/2011,48,1354.9907,13,32,43,0,0,48
02/11/2011,60,1246.1799,23,28,60,0,0,58
02/12/2011,54,2188.854,20,38,54,0,0,48
02/13/2011,43,1167.9438,13,37,37,0,0,43
02/14/2011,44,2807.352,8,44,21,17,0,33
02/15/2011,49,1753.5632,14,37,23,0,0,49
02/16/2011,44,776.8108,14,36,37,0,0,44
02/17/2011,66,1413.4999,10,44,66,0,0,47
02/18/2011,54,1701.9178,11,44,54,0,0,41
02/19/2011,42,2219.7646,10,42,13,0,0,6
02/20/2011,37,1831.6075,11,37,25,9,0,18
02/21/2011,45,704.3823,13,32,45,0,0,35
02/22/2011,35,1011.9994,11,35,33,0,0,21
02/23/2011,56,1074.9723,14,24,56,0,0,45
02/24/2011,57,864.83856,18,33,57,0,0,48
02/25/2011,52,2267.2822,13,36,52,0,0,32
02/26/2011,38,1381.2454,13,38,30,11,0,22
