, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb),Te0perture (C),Dew Point Te0p (C),Relative Hu0idity (%)
2011-01-01,0.0,930.45135,22.0,27.0,78.0,0.0,0.0,44.0,7.384615384615385,3.8423076923076924,78.42923076923077
2011-01-02,-1.0,808.1053,15.0,29.0,23.0,0.0,0.0,14.0,11.094444444444443,7.711111111111112,80.59166666666667
2011-01-03,-1.0,1149.2727,16.0,31.0,31.0,0.0,0.0,45.0,1.5625,-10.445833333333333,41.085
2011-01-04,-1.0,690.31903,19.0,17.0,45.0,14.0,0.0,41.0,0.5708333333333333,-6.720833333333334,58.80583333333333
2011-01-05,-1.0,1213.6376,15.0,26.0,40.0,0.0,0.0,42.0,2.7583333333333333,-8.466666666666667,45.0325
2011-01-06,0.0,1290.8658,18.0,22.0,64.0,0.0,0.0,40.0,0.8119999999999998,-8.156,52.3848
2011-01-07,-1.0,2007.471,14.0,29.0,49.0,0.0,0.0,40.0,1.0576923076923077,-7.861538461538462,52.478846153846156
2011-01-08,-1.0,1988.6079,14.0,28.0,44.0,0.0,0.0,29.0,-0.39545454545454545,-6.775,65.02727272727272
2011-01-09,-1.0,1743.0518,11.0,29.0,33.0,9.0,0.0,9.0,-2.3916666666666666,-13.633333333333333,42.23708333333334
2011-01-10,0.0,1037.1501,15.0,27.0,58.0,0.0,0.0,39.0,-1.5916666666666666,-11.508333333333333,46.97833333333333
2011-01-11,0.0,490.1687,18.0,13.0,59.0,0.0,0.0,39.0,-0.6425000000000001,-6.220000000000001,67.8295
2011-01-12,-1.0,1879.9412,14.0,27.0,33.0,0.0,0.0,27.0,-0.7510204081632652,-4.081632653061225,80.56918367346938
2011-01-13,0.0,1506.2313,13.0,31.0,52.0,0.0,0.0,24.0,-0.62,-10.128,49.0128
2011-01-14,0.0,1544.7734,20.0,28.0,54.0,0.0,0.0,42.0,-1.3692307692307693,-10.211538461538462,51.82923076923077
2011-01-15,0.0,916.43604,22.0,27.0,54.0,17.0,0.0,42.0,1.5458333333333334,-7.2250000000000005,53.556666666666665
2011-01-16,0.0,1346.3511,16.0,30.0,56.0,0.0,0.0,37.0,3.78,-6.747999999999999,46.8124
2011-01-17,0.0,659.0726,16.0,22.0,62.0,0.0,0.0,24.0,0.07083333333333335,-9.791666666666666,47.59708333333333
2011-01-18,0.0,481.0492,16.0,12.0,65.0,0.0,0.0,32.0,0.12195121951219515,-2.0195121951219512,85.62439024390244
2011-01-19,0.0,1212.5815,17.0,19.0,54.0,0.0,0.0,30.0,3.842857142857143,1.3514285714285714,85.32171428571428
2011-01-20,-1.0,1261.0593,15.0,23.0,30.0,0.0,0.0,32.0,4.430769230769231,-4.569230769230769,52.25
2011-01-21,-1.0,2017.2145,14.0,33.0,46.0,14.0,0.0,14.0,1.6848484848484848,-6.924242424242424,56.18606060606061
2011-01-22,0.0,1439.4186,9.0,26.0,54.0,0.0,0.0,38.0,-5.970833333333334,-17.854166666666668,39.00291666666667
2011-01-23,0.0,1700.3818,10.0,30.0,56.0,0.0,0.0,37.0,-4.391666666666667,-15.054166666666667,45.143750000000004
2011-01-24,0.0,1045.3577,9.0,24.0,76.0,0.0,0.0,53.0,-4.7250000000000005,-14.9125,45.04708333333334
2011-01-25,0.0,383.3739,15.0,12.0,70.0,0.0,0.0,45.0,1.425,-5.3999999999999995,61.607916666666675
2011-01-26,0.0,814.72894,14.0,19.0,62.0,0.0,0.0,39.0,1.6196721311475408,-0.4163934426229508,86.82278688524589
2011-01-27,0.0,1273.2986,11.0,28.0,56.0,14.0,0.0,40.0,1.5999999999999999,-2.9441176470588233,72.97529411764705
2011-01-28,0.0,697.0387,13.0,21.0,68.0,0.0,0.0,33.0,0.4674418604651162,-2.088372093023256,83.27348837209303
2011-01-29,0.0,705.9183,14.0,22.0,53.0,0.0,0.0,40.0,1.304,-4.792,63.974799999999995
2011-01-30,0.0,984.20874,19.0,27.0,77.0,0.0,0.0,43.0,1.0916666666666666,-3.341666666666667,73.34166666666667
2011-01-31,0.0,639.9695,11.0,22.0,58.0,0.0,0.0,36.0,0.45833333333333326,-6.2124999999999995,61.02375
2011-02-01,0.0,537.9264,14.0,10.0,79.0,0.0,0.0,37.0,-0.23833333333333337,-3.1876190476190476,81.24952380952381
2011-02-02,-1.0,922.86774,15.0,34.0,30.0,7.0,0.0,31.0,3.6367346938775507,1.6408163265306124,87.9573469387755
2011-02-03,-1.0,1343.5193,11.0,35.0,26.0,0.0,0.0,44.0,0.676,-10.22,44.0408
2011-02-04,-1.0,729.29315,13.0,23.0,45.0,0.0,0.0,45.0,1.0875,-7.166666666666667,54.744166666666665
2011-02-05,-1.0,537.9745,13.0,24.0,37.0,0.0,0.0,25.0,2.095,1.2266666666666666,94.64283333333333
2011-02-06,0.0,1448.4901,13.0,33.0,55.0,0.0,0.0,45.0,5.307407407407408,-1.0407407407407407,65.5674074074074
2011-02-07,0.0,644.0013,19.0,14.0,72.0,0.0,0.0,57.0,4.1875,-0.6541666666666667,72.07791666666667
2011-02-08,-1.0,2631.0085,10.0,35.0,35.0,7.0,0.0,37.0,3.470833333333333,-4.175,60.8125
2011-02-09,-1.0,1855.8463,8.0,31.0,29.0,0.0,0.0,23.0,-2.625,-14.295833333333334,40.70708333333334
2011-02-10,-1.0,1354.9907,13.0,32.0,43.0,0.0,0.0,48.0,-1.7379310344827585,-10.358620689655172,56.2751724137931
2011-02-11,0.0,1246.1799,23.0,28.0,60.0,0.0,0.0,58.0,-0.5583333333333335,-11.066666666666668,48.33541666666667
2011-02-12,0.0,2188.854,20.0,38.0,54.0,0.0,0.0,48.0,1.6291666666666667,-6.808333333333334,58.211666666666666
2011-02-13,-1.0,1167.9438,13.0,37.0,37.0,0.0,0.0,43.0,5.195833333333333,-5.55,48.87958333333333
2011-02-14,-1.0,2807.352,8.0,44.0,21.0,17.0,0.0,33.0,12.179166666666667,-3.3541666666666665,35.39666666666667
2011-02-15,-1.0,1753.5632,14.0,37.0,23.0,0.0,0.0,49.0,5.183333333333334,-10.700000000000001,32.125
2011-02-16,-1.0,776.8108,14.0,36.0,37.0,0.0,0.0,44.0,6.036363636363637,-6.390909090909091,42.08409090909091
2011-02-17,0.0,1413.4999,10.0,44.0,66.0,0.0,0.0,47.0,11.670833333333334,0.7125,48.432500000000005
2011-02-18,0.0,1701.9178,11.0,44.0,54.0,0.0,0.0,41.0,16.464000000000002,7.5920000000000005,58.541599999999995
2011-02-19,-1.0,2219.7646,10.0,42.0,13.0,0.0,0.0,6.0,13.015999999999998,-11.932,16.993199999999998
2011-02-20,-1.0,1831.6075,11.0,37.0,25.0,9.0,0.0,18.0,4.895833333333333,-8.904166666666667,36.96375
2011-02-21,-1.0,704.3823,13.0,32.0,45.0,0.0,0.0,35.0,6.785185185185185,-1.3518518518518519,58.78370370370371
2011-02-22,-1.0,1011.9994,11.0,35.0,33.0,0.0,0.0,21.0,-0.1511111111111111,-4.148888888888889,75.58266666666667
2011-02-23,0.0,1074.9723,14.0,24.0,56.0,0.0,0.0,45.0,1.3916666666666666,-10.679166666666667,41.82208333333333
2011-02-24,0.0,864.83856,18.0,33.0,57.0,0.0,0.0,48.0,5.2379310344827585,-0.896551724137931,65.61344827586207
2011-02-25,0.0,2267.2822,13.0,36.0,52.0,0.0,0.0,32.0,10.062222222222223,6.297777777777777,80.20755555555556
2011-02-26,-1.0,1381.2454,13.0,38.0,30.0,11.0,0.0,22.0,5.108333333333333,-4.495833333333334,50.39208333333334
2011-02-27,0.0,862.00665,17.0,31.0,53.0,0.0,0.0,41.0,7.220833333333334,1.5583333333333333,69.48875
2011-02-28,0.0,1045.6458,14.0,31.0,56.0,0.0,0.0,38.0,12.233333333333333,9.297222222222222,83.95444444444445
2011-03-01,-1.0,1265.0431,14.0,35.0,35.0,0.0,0.0,40.0,6.107142857142857,-1.0785714285714285,62.669285714285714
2011-03-02,-1.0,2593.3306,22.0,40.0,38.0,0.0,0.0,27.0,7.484,-3.5839999999999996,49.992
2011-03-03,-1.0,1355.4707,13.0,34.0,25.0,0.0,0.0,31.0,1.8499999999999999,-13.987499999999999,30.36916666666667
2011-03-04,-1.0,1099.9312,13.0,37.0,29.0,11.0,0.0,33.0,3.1916666666666664,-5.175,55.83208333333334
2011-03-05,-1.0,1813.0804,14.0,37.0,20.0,0.0,0.0,14.0,8.632142857142856,5.303571428571429,81.35428571428572
2011-03-06,-1.0,905.39655,14.0,39.0,15.0,0.0,0.0,13.0,10.883673469387753,10.012244897959183,94.75551020408165
2011-03-07,-1.0,1260.2913,13.0,40.0,20.0,0.0,0.0,44.0,3.5447368421052627,-0.9736842105263158,77.80526315789473
2011-03-08,-1.0,1058.989,13.0,33.0,27.0,0.0,0.0,46.0,5.483333333333333,-7.708333333333333,41.0775
2011-03-09,-1.0,1053.2294,13.0,33.0,33.0,0.0,0.0,29.0,5.3999999999999995,0.6620689655172415,72.6948275862069
2011-03-10,-1.0,772.155,14.0,33.0,19.0,6.0,0.0,28.0,10.75686274509804,10.543137254901962,98.60529411764706
2011-03-11,-1.0,1825.1278,14.0,33.0,19.0,0.0,0.0,19.0,8.38974358974359,4.971794871794872,81.32923076923078
2011-03-12,0.0,1120.7141,14.0,36.0,51.0,0.0,0.0,53.0,5.1,-2.783333333333333,56.885
2011-03-13,-1.0,2235.9878,15.0,46.0,40.0,0.0,0.0,45.0,11.464705882352941,0.9647058823529411,49.707647058823525
2011-03-14,-1.0,1695.6301,13.0,43.0,45.0,0.0,0.0,40.0,6.892,-2.908,51.1788
