,time,pblh(m)
0,2011-01-01,930.45135
1,2011-01-02,808.1053
2,2011-01-03,1149.2727
3,2011-01-04,690.31903
4,2011-01-05,1213.6376
5,2011-01-06,1290.8658
6,2011-01-07,2007.471
7,2011-01-08,1988.6079
8,2011-01-09,1743.0518
9,2011-01-10,1037.1501
10,2011-01-11,490.1687
11,2011-01-12,1879.9412
12,2011-01-13,1506.2313
13,2011-01-14,1544.7734
14,2011-01-15,916.43604
15,2011-01-16,1346.3511
16,2011-01-17,659.0726
17,2011-01-18,481.0492
18,2011-01-19,1212.5815
19,2011-01-20,1261.0593
20,2011-01-21,2017.2145
21,2011-01-22,1439.4186
22,2011-01-23,1700.3818
23,2011-01-24,1045.3577
24,2011-01-25,383.3739
25,2011-01-26,814.72894
26,2011-01-27,1273.2986
27,2011-01-28,697.0387
28,2011-01-29,705.9183
29,2011-01-30,984.20874
30,2011-01-31,639.9695
31,2011-02-01,537.9264
32,2011-02-02,922.86774
33,2011-02-03,1343.5193
34,2011-02-04,729.29315
35,2011-02-05,537.9745
36,2011-02-06,1448.4901
37,2011-02-07,644.0013
38,2011-02-08,2631.0085
39,2011-02-09,1855.8463
40,2011-02-10,1354.9907
41,2011-02-11,1246.1799
42,2011-02-12,2188.854
43,2011-02-13,1167.9438
44,2011-02-14,2807.352
45,2011-02-15,1753.5632
46,2011-02-16,776.8108
47,2011-02-17,1413.4999
48,2011-02-18,1701.9178
49,2011-02-19,2219.7646
50,2011-02-20,1831.6075
51,2011-02-21,704.3823
52,2011-02-22,1011.9994
53,2011-02-23,1074.9723
54,2011-02-24,864.83856
55,2011-02-25,2267.2822
56,2011-02-26,1381.2454
57,2011-02-27,862.00665
58,2011-02-28,1045.6458
59,2011-03-01,1265.0431
60,2011-03-02,2593.3306
61,2011-03-03,1355.4707
62,2011-03-04,1099.9312
63,2011-03-05,1813.0804
64,2011-03-06,905.39655
65,2011-03-07,1260.2913
66,2011-03-08,1058.989
67,2011-03-09,1053.2294
68,2011-03-10,772.155
69,2011-03-11,1825.1278
70,2011-03-12,1120.7141
71,2011-03-13,2235.9878
72,2011-03-14,1695.6301
73,2011-03-15,1108.9066
74,2011-03-16,1668.1754
75,2011-03-17,1444.0264
76,2011-03-18,2002.5752
77,2011-03-19,1852.4865
78,2011-03-20,1139.5292
79,2011-03-21,1190.9827
80,2011-03-22,1345.5352
81,2011-03-23,679.71155
82,2011-03-24,1479.2566
83,2011-03-25,2044.4772
84,2011-03-26,1952.8496
85,2011-03-27,1743.0999
86,2011-03-28,1513.047
87,2011-03-29,1623.2017
88,2011-03-30,1062.5889
89,2011-03-31,359.4231
90,2011-04-01,2009.6309
91,2011-04-02,1962.4491
92,2011-04-03,1915.6514
93,2011-04-04,1611.1062
94,2011-04-05,2414.443
95,2011-04-06,2378.397
96,2011-04-07,1316.8325
97,2011-04-08,830.1842
98,2011-04-09,859.3188
99,2011-04-10,808.58527
100,2011-04-11,1607.5063
101,2011-04-12,856.2949
102,2011-04-13,1052.7494
103,2011-04-14,1670.7194
104,2011-04-15,1625.5055
105,2011-04-16,1328.3519
106,2011-04-17,2799.5764
107,2011-04-18,1894.7244
108,2011-04-19,779.2107
109,2011-04-20,2503.4788
110,2011-04-21,1940.7062
111,2011-04-22,799.7537
112,2011-04-23,1159.9762
113,2011-04-24,1885.7489
114,2011-04-25,1856.8542
115,2011-04-26,1886.1809
116,2011-04-27,1789.8015
117,2011-04-28,1687.7104
118,2011-04-29,2181.8464
119,2011-04-30,1425.0193
120,2011-05-01,873.62213
121,2011-05-02,1448.4901
122,2011-05-03,1816.5363
123,2011-05-04,1910.5156
124,2011-05-05,2778.1216
125,2011-05-06,2228.2122
126,2011-05-07,2275.2979
127,2011-05-08,1975.6965
128,2011-05-09,2155.5918
129,2011-05-10,1483.6244
130,2011-05-11,1728.1245
131,2011-05-12,1295.9055
132,2011-05-13,796.63385
133,2011-05-14,582.4203
134,2011-05-15,1068.6366
135,2011-05-16,1584.0355
136,2011-05-17,1224.437
137,2011-05-18,1237.3484
138,2011-05-19,1421.2754
139,2011-05-20,1430.395
140,2011-05-21,2005.599
141,2011-05-22,1395.0208
142,2011-05-23,1396.2687
143,2011-05-24,2058.8765
144,2011-05-25,1641.4888
145,2011-05-26,1927.6028
146,2011-05-27,1526.4384
147,2011-05-28,1585.5234
148,2011-05-29,1197.5583
149,2011-05-30,1923.187
150,2011-05-31,2069.9639
151,2011-06-01,1932.0667
152,2011-06-02,1978.5764
153,2011-06-03,1801.8489
154,2011-06-04,1481.5605
155,2011-06-05,1450.362
156,2011-06-06,2349.9343
157,2011-06-07,2007.3269
158,2011-06-08,2201.8613
159,2011-06-09,2646.416
160,2011-06-10,2096.9385
161,2011-06-11,1745.7396
162,2011-06-12,2065.548
163,2011-06-13,2172.9668
164,2011-06-14,1836.6472
165,2011-06-15,2246.0674
166,2011-06-16,1644.9926
167,2011-06-17,2178.8706
168,2011-06-18,1761.8188
169,2011-06-19,1526.1504
170,2011-06-20,1545.8293
171,2011-06-21,1061.8689
172,2011-06-22,1695.6301
173,2011-06-23,1322.0164
174,2011-06-24,1986.7839
175,2011-06-25,1468.5531
176,2011-06-26,1832.7594
177,2011-06-27,915.3321
178,2011-06-28,1655.8401
179,2011-06-29,2155.2559
180,2011-06-30,2214.4849
181,2011-07-01,2706.6528
182,2011-07-02,2524.4058
183,2011-07-03,2340.1907
184,2011-07-04,1680.1268
185,2011-07-05,1974.1605
186,2011-07-06,1204.662
187,2011-07-07,2331.599
188,2011-07-08,1227.7489
189,2011-07-09,2207.1892
190,2011-07-10,2067.756
191,2011-07-11,1799.353
192,2011-07-12,2278.3696
193,2011-07-13,2278.7058
194,2011-07-14,2349.9343
195,2011-07-15,1693.7102
196,2011-07-16,1937.4424
197,2011-07-17,1858.6301
198,2011-07-18,1954.8655
199,2011-07-19,1756.0112
200,2011-07-20,1904.468
201,2011-07-21,1959.6173
202,2011-07-22,2467.9126
203,2011-07-23,2499.783
204,2011-07-24,1680.5588
205,2011-07-25,1180.2792
206,2011-07-26,2945.9692
207,2011-07-27,2377.2449
208,2011-07-28,1886.5648
209,2011-07-29,2736.7954
210,2011-07-30,2506.6946
211,2011-07-31,2796.9844
212,2011-08-01,3155.767
