"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/04/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"01/09/2011","8","","RIVER TERRACE","11-001-0041","AQS"
"01/15/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"01/21/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"01/27/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"02/02/2011","6","","RIVER TERRACE","11-001-0041","AQS"
"02/08/2011","6","","RIVER TERRACE","11-001-0041","AQS"
"02/14/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"02/20/2011","8","","RIVER TERRACE","11-001-0041","AQS"
"02/26/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"03/04/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"03/10/2011","6","","RIVER TERRACE","11-001-0041","AQS"
"03/16/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"03/22/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"03/28/2011","15","","RIVER TERRACE","11-001-0041","AQS"
"04/03/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"04/09/2011","11","","RIVER TERRACE","11-001-0041","AQS"
"04/15/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"04/27/2011","18","","RIVER TERRACE","11-001-0041","AQS"
"05/03/2011","24","","RIVER TERRACE","11-001-0041","AQS"
"05/09/2011","22","","RIVER TERRACE","11-001-0041","AQS"
"05/15/2011","12","","RIVER TERRACE","11-001-0041","AQS"
"05/21/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"05/27/2011","23","","RIVER TERRACE","11-001-0041","AQS"
"06/02/2011","28","","RIVER TERRACE","11-001-0041","AQS"
"06/08/2011","39","","RIVER TERRACE","11-001-0041","AQS"
"06/14/2011","17","","RIVER TERRACE","11-001-0041","AQS"
"06/20/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"06/26/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"07/04/2011","48","","RIVER TERRACE","11-001-0041","AQS"
"07/08/2011","21","","RIVER TERRACE","11-001-0041","AQS"
"07/12/2011","24","","RIVER TERRACE","11-001-0041","AQS"
"07/14/2011","17","","RIVER TERRACE","11-001-0041","AQS"
"07/20/2011","35","","RIVER TERRACE","11-001-0041","AQS"
"07/26/2011","22","","RIVER TERRACE","11-001-0041","AQS"
"08/01/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"08/07/2011","21","","RIVER TERRACE","11-001-0041","AQS"
"08/13/2011","27","","RIVER TERRACE","11-001-0041","AQS"
"08/19/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"08/25/2011","18","","RIVER TERRACE","11-001-0041","AQS"
"08/31/2011","28","","RIVER TERRACE","11-001-0041","AQS"
"09/06/2011","6","","RIVER TERRACE","11-001-0041","AQS"
"09/12/2011","20","","RIVER TERRACE","11-001-0041","AQS"
"09/18/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"09/24/2011","15","","RIVER TERRACE","11-001-0041","AQS"
"09/30/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"10/06/2011","22","","RIVER TERRACE","11-001-0041","AQS"
"10/12/2011","15","","RIVER TERRACE","11-001-0041","AQS"
"10/18/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"10/24/2011","18","","RIVER TERRACE","11-001-0041","AQS"
"10/30/2011","9","","RIVER TERRACE","11-001-0041","AQS"
"11/05/2011","11","","RIVER TERRACE","11-001-0041","AQS"
"11/11/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"11/17/2011","7","","RIVER TERRACE","11-001-0041","AQS"
"11/23/2011","8","","RIVER TERRACE","11-001-0041","AQS"
"11/30/2011","4","","RIVER TERRACE","11-001-0041","AQS"
"12/05/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"12/11/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"12/17/2011","14","","RIVER TERRACE","11-001-0041","AQS"
"12/23/2011","8","","RIVER TERRACE","11-001-0041","AQS"
"12/29/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"01/04/2012","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/16/2012","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/19/2012","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/22/2012","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/25/2012","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/28/2012","7","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/31/2012","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/03/2012","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/09/2012","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/15/2012","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/18/2012","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/24/2012","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/27/2012","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/04/2012","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/08/2012","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/10/2012","6","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/16/2012","31","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/22/2012","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/28/2012","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/03/2012","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/09/2012","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/15/2012","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/21/2012","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
