"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","110010043","1","9.7","ug/m3 LC","40","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/02/2022","AQS","110010043","1","1.7","ug/m3 LC","7","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/03/2022","AQS","110010043","1","2.9","ug/m3 LC","12","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/04/2022","AQS","110010043","1","7.6","ug/m3 LC","32","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/05/2022","AQS","110010043","1","8.1","ug/m3 LC","34","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/06/2022","AQS","110010043","1","6.8","ug/m3 LC","28","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/07/2022","AQS","110010043","1","4.6","ug/m3 LC","19","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/08/2022","AQS","110010043","1","6.8","ug/m3 LC","28","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/09/2022","AQS","110010043","1","8.1","ug/m3 LC","34","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/10/2022","AQS","110010043","1","2.2","ug/m3 LC","9","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/11/2022","AQS","110010043","1","3.5","ug/m3 LC","15","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/12/2022","AQS","110010043","1","7.9","ug/m3 LC","33","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/13/2022","AQS","110010043","1","15.7","ug/m3 LC","59","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/14/2022","AQS","110010043","1","12.4","ug/m3 LC","52","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/15/2022","AQS","110010043","1","3.2","ug/m3 LC","13","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"01/16/2022","AQS","110010043","1","7.3","ug/m3 LC","30","MCMILLAN  NCore-PAMS","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
